Lake,Date_Sampled,Results,,,,,,,,,,,,,,
Kegonsa,2001-10-30,42.7,,,,,,,,,,,,,,
Kegonsa,2001-11-29,43.1,,,,,,,,,,,,,,
Kegonsa,2001-12-11,42.9,,,,,,,,,,,,,,
Kegonsa,2002-01-28,45.2,,,,,,,,,,,,,,
Kegonsa,2002-02-28,43.5,,,,,,,,,,,,,,
Kegonsa,2002-03-27,42.7,,,,,,,,,,,,,,
Kegonsa,2002-04-29,41.9,,,,,,,,,,,,,,
Kegonsa,2002-05-30,42.8,,,,,,,,,,,,,,
Kegonsa,2002-06-25,43.1,,,,,,,,,,,,,,
Kegonsa,2002-07-31,44.7,,,,,,,,,,,,,,
Kegonsa,2002-08-26,45.1,,,,,,,,,,,,,,
Kegonsa,2002-09-23,45.5,,,,,,,,,,,,,,
Kegonsa,2002-10-28,42.3,,,,,,,,,,,,,,
Kegonsa,2002-11-25,46.5,,,,,,,,,,,,,,
Kegonsa,2002-12-11,45.1,,,,,,,,,,,,,,
Kegonsa,2003-01-08,44.1,,,,,,,,,,,,,,
Kegonsa,2003-02-19,48.1,,,,,,,,,,,,,,
Kegonsa,2003-03-17,39.2,,,,,,,,,,,,,,
Kegonsa,2003-04-29,46.0,,,,,,,,,,,,,,
Kegonsa,2003-05-29,45.3,,,,,,,,,,,,,,
Kegonsa,2003-06-23,47.0,,,,,,,,,,,,,,
Kegonsa,2003-07-29,42.3,,,,,,,,,,,,,,
Kegonsa,2003-08-27,43.3,,,,,,,,,,,,,,
Kegonsa,2003-09-11,43.5,,,,,,,,,,,,,,
Kegonsa,2003-10-27,43.8,,,,,,,,,,,,,,
Kegonsa,2003-11-24,43.5,,,,,,,,,,,,,,
Kegonsa,2003-12-29,44.9,,,,,,,,,,,,,,
Kegonsa,2004-01-21,46.4,,,,,,,,,,,,,,
Kegonsa,2004-02-18,47.6,,,,,,,,,,,,,,
Kegonsa,2004-03-30,41.8,,,,,,,,,,,,,,
Kegonsa,2004-04-26,43.2,,,,,,,,,,,,,,
Kegonsa,2004-05-12,43.1,,,,,,,,,,,,,,
Kegonsa,2004-06-15,39.7,,,,,,,,,,,,,,
Kegonsa,2004-07-15,43.3,,,,,,,,,,,,,,
Kegonsa,2004-08-23,40.8,,,,,,,,,,,,,,
Kegonsa,2004-09-13,40.8,,,,,,,,,,,,,,
Kegonsa,2004-10-25,41.8,,,,,,,,,,,,,,
Kegonsa,2004-11-22,45.5,,,,,,,,,,,,,,
Kegonsa,2004-12-13,42.4,,,,,,,,,,,,,,
Kegonsa,2005-01-25,46.7,,,,,,,,,,,,,,
Kegonsa,2005-02-23,46.5,,,,,,,,,,,,,,
Kegonsa,2005-03-16,45.7,,,,,,,,,,,,,,
Kegonsa,2005-04-25,41.2,,,,,,,,,,,,,,
Kegonsa,2005-05-23,41.9,,,,,,,,,,,,,,
Kegonsa,2005-06-30,43.3,,,,,,,,,,,,,,
Kegonsa,2005-07-27,45.6,,,,,,,,,,,,,,
Kegonsa,2005-08-23,44.6,,,,,,,,,,,,,,
Kegonsa,2005-09-27,45.4,,,,,,,,,,,,,,
Kegonsa,2005-10-25,48.6,,,,,,,,,,,,,,
Kegonsa,2005-11-30,48.3,,,,,,,,,,,,,,
Kegonsa,2005-12-27,50.6,,,,,,,,,,,,,,
Kegonsa,2006-01-24,49.1,,,,,,,,,,,,,,
Kegonsa,2006-02-22,49.1,,,,,,,,,,,,,,
Kegonsa,2006-03-27,46.0,,,,,,,,,,,,,,
Kegonsa,2006-05-30,46.1,,,,,,,,,,,,,,
Kegonsa,2006-06-12,47.5,,,,,,,,,,,,,,
Kegonsa,2006-07-17,47.9,,,,,,,,,,,,,,
Kegonsa,2006-08-14,47.7,,,,,,,,,,,,,,
Kegonsa,2006-09-25,45.9,,,,,,,,,,,,,,
Kegonsa,2006-10-25,45.5,,,,,,,,,,,,,,
Kegonsa,2006-11-20,46.4,,,,,,,,,,,,,,
Kegonsa,2006-12-14,46.3,,,,,,,,,,,,,,
Kegonsa,2007-01-24,47.3,,,,,,,,,,,,,,
Kegonsa,2007-02-28,50.4,,,,,,,,,,,,,,
Kegonsa,2007-03-20,48.7,,,,,,,,,,,,,,
Kegonsa,2007-04-17,44.7,,,,,,,,,,,,,,
Kegonsa,2007-06-11,47.7,,,,,,,,,,,,,,
Kegonsa,2007-07-09,51.5,,,,,,,,,,,,,,
Kegonsa,2007-09-04,48.0,,,,,,,,,,,,,,
Kegonsa,2007-10-29,46.4,,,,,,,,,,,,,,
Kegonsa,2007-11-27,47.0,,,,,,,,,,,,,,
Kegonsa,2008-01-24,53.9,,,,,,,,,,,,,,
Kegonsa,2008-02-26,53.1,,,,,,,,,,,,,,
Kegonsa,2008-03-13,53.5,,,,,,,,,,,,,,
Kegonsa,2008-04-03,52.4,,,,,,,,,,,,,,
Kegonsa,2008-05-27,55.4,,,,,,,,,,,,,,
Kegonsa,2008-06-11,54.3,,,,,,,,,,,,,,
Kegonsa,2008-07-14,47.2,,,,,,,,,,,,,,
Kegonsa,2008-08-26,51.6,,,,,,,,,,,,,,
Kegonsa,2008-09-29,53.2,,,,,,,,,,,,,,
Kegonsa,2008-10-21,51.7,,,,,,,,,,,,,,
Kegonsa,2008-11-26,53.0,,,,,,,,,,,,,,
Kegonsa,2008-12-11,54.2,,,,,,,,,,,,,,
Kegonsa,2009-01-28,55.2,,,,,,,,,,,,,,
Kegonsa,2009-02-16,53.2,,,,,,,,,,,,,,
Kegonsa,2009-03-16,46.4,,,,,,,,,,,,,,
Kegonsa,2009-04-16,51.3,,,,,,,,,,,,,,
Kegonsa,2009-05-26,56.2,,,,,,,,,,,,,,
Kegonsa,2009-06-15,50.3,,,,,,,,,,,,,,
Kegonsa,2009-07-13,55.7,,,,,,,,,,,,,,
Kegonsa,2009-08-24,56.8,,,,,,,,,,,,,,
Kegonsa,2009-09-08,53.9,,,,,,,,,,,,,,
Kegonsa,2009-10-27,50.3,,,,,,,,,,,,,,
Kegonsa,2009-11-23,50.9,,,,,,,,,,,,,,
Kegonsa,2009-12-28,57.2,,,,,,,,,,,,,,
Kegonsa,2010-01-26,53.4,,,,,,,,,,,,,,
Kegonsa,2010-02-16,57.4,,,,,,,,,,,,,,
Kegonsa,2010-03-15,56.7,,,,,,,,,,,,,,
Kegonsa,2010-04-22,52.3,,,,,,,,,,,,,,
Kegonsa,2010-05-24,54.5,,,,,,,,,,,,,,
Kegonsa,2010-06-30,53.7,,,,,,,,,,,,,,
