Date,Lake,Chloride.mgL
2/17/1943,Mendota,2.5
4/14/1943,Mendota,2.87
5/25/1943,Mendota,3.13
6/15/1943,Mendota,1.62
7/19/1943,Mendota,3.75
8/16/1943,Mendota,1.5
9/27/1943,Mendota,2.5
10/11/1943,Mendota,2.5
11/1/1943,Mendota,1.63
12/15/1943,Mendota,2.75
1/28/1944,Mendota,2.5
2/23/1944,Mendota,3.12
4/25/1944,Mendota,3.5
6/26/1944,Mendota,1.13
7/28/1944,Mendota,4
8/10/1944,Mendota,1.375
9/12/1944,Mendota,2.5
10/24/1944,Mendota,2.5
11/28/1944,Mendota,1.88
1/22/1945,Mendota,3.15
4/23/1945,Mendota,3.75
5/28/1945,Mendota,2.5
6/19/1945,Mendota,3.76
7/19/1945,Mendota,4.2
8/22/1945,Mendota,2.75
9/19/1945,Mendota,4.38
10/22/1945,Mendota,2.88
11/26/1945,Mendota,3.5
12/12/1945,Mendota,1.88
1/14/1946,Mendota,5.425
3/13/1946,Mendota,2.375
4/24/1946,Mendota,2.25
5/27/1946,Mendota,3
6/25/1946,Mendota,4.25
7/16/1946,Mendota,3.75
8/22/1946,Mendota,2.5
9/10/1946,Mendota,3.125
10/23/1946,Mendota,5
11/26/1946,Mendota,1.875
12/11/1946,Mendota,1.875
1/20/1947,Mendota,2.75
3/28/1947,Mendota,4.125
5/27/1947,Mendota,2.88
6/26/1947,Mendota,2.125
7/30/1947,Mendota,3.79
8/21/1947,Mendota,3.03
9/11/1947,Mendota,3.79
10/23/1947,Mendota,3.033
11/25/1947,Mendota,1.52
1/30/1948,Mendota,4.55
2/20/1948,Mendota,4.85
3/30/1948,Mendota,4.55
4/22/1948,Mendota,2.27
5/26/1948,Mendota,4.54
6/29/1948,Mendota,2.27
7/28/1948,Mendota,4.55
8/13/1948,Mendota,4.55
9/28/1948,Mendota,3.79
10/27/1948,Mendota,1.67
11/24/1948,Mendota,3.03
12/23/1948,Mendota,4.55
2/3/1949,Mendota,6.06
3/29/1949,Mendota,0.759
4/27/1949,Mendota,3.8
5/18/1949,Mendota,1.5
6/28/1949,Mendota,6.06
7/26/1949,Mendota,1.21
8/30/1949,Mendota,6.06
10/27/1949,Mendota,9.1
12/20/1949,Mendota,8.35
7/1/1957,Mendota,6
7/1/1958,Mendota,6
7/1/1962,Mendota,6
7/1/1963,Mendota,6
7/1/1964,Mendota,7
7/1/1965,Mendota,8
7/1/1966,Mendota,8
7/1/1967,Mendota,9
7/1/1968,Mendota,9
7/1/1969,Mendota,10
7/1/1970,Mendota,11
10/1/1971,Mendota,11
11/1/1971,Mendota,12
2/1/1972,Mendota,14
5/1/1972,Mendota,13.5
7/1/1972,Mendota,11
10/1/1972,Mendota,14
3/1/1973,Mendota,13.5
4/1/1973,Mendota,14
5/1/1973,Mendota,14.5
10/1/1973,Mendota,14.5
2/1/1974,Mendota,18.5
3/1/1974,Mendota,10.5
4/1/1974,Mendota,14.2
5/1/1974,Mendota,13.5
6/1/1974,Mendota,15
7/1/1974,Mendota,15.5
9/1/1974,Mendota,15
10/1/1974,Mendota,15
12/1/1974,Mendota,15.8
1/1/1975,Mendota,16
2/1/1975,Mendota,15.8
3/1/1975,Mendota,14.5
4/1/1975,Mendota,9.5
5/1/1975,Mendota,16
6/1/1975,Mendota,15.5
7/1/1975,Mendota,15
8/1/1975,Mendota,19.2
9/1/1975,Mendota,15.5
10/1/1975,Mendota,15
11/1/1975,Mendota,15.8
12/1/1975,Mendota,15.8
1/1/1976,Mendota,15.2
2/1/1976,Mendota,17
3/1/1976,Mendota,14
4/1/1976,Mendota,15.2
5/1/1976,Mendota,14.5
6/1/1976,Mendota,15.5
7/1/1976,Mendota,16
8/1/1976,Mendota,15.5
9/1/1976,Mendota,16
10/1/1976,Mendota,16
11/1/1976,Mendota,15
12/1/1976,Mendota,19
1/1/1977,Mendota,18
2/1/1977,Mendota,19
3/1/1977,Mendota,16
4/1/1977,Mendota,16
5/1/1977,Mendota,16
6/1/1977,Mendota,16
7/1/1977,Mendota,15
8/1/1977,Mendota,13.5
9/1/1977,Mendota,16
10/1/1977,Mendota,16
11/1/1977,Mendota,16
12/1/1977,Mendota,18
1/1/1978,Mendota,20
2/1/1978,Mendota,18
3/1/1978,Mendota,20
4/1/1978,Mendota,12
5/1/1978,Mendota,18
6/1/1978,Mendota,17
7/1/1978,Mendota,18
8/1/1978,Mendota,15
9/1/1978,Mendota,23
10/1/1978,Mendota,25
11/1/1978,Mendota,18
12/1/1978,Mendota,16.5
1/1/1979,Mendota,16
2/1/1979,Mendota,17.8
3/1/1979,Mendota,17.5
4/1/1979,Mendota,13.5
5/1/1979,Mendota,16.8
6/1/1979,Mendota,17.4
7/1/1979,Mendota,15.9
8/1/1979,Mendota,16.7
9/1/1979,Mendota,16.8
10/1/1979,Mendota,16.7
11/1/1979,Mendota,16.9
12/1/1979,Mendota,16.8
1/1/1980,Mendota,17.6
2/1/1980,Mendota,17.9
3/1/1980,Mendota,17.9
4/1/1980,Mendota,22
5/1/1980,Mendota,19
6/1/1980,Mendota,18
7/1/1980,Mendota,19
8/1/1980,Mendota,17
9/1/1980,Mendota,17
10/1/1980,Mendota,18
11/1/1980,Mendota,18.7
12/1/1980,Mendota,18.7
1/1/1981,Mendota,19.8
2/1/1981,Mendota,19.7
3/1/1981,Mendota,17.1
4/1/1981,Mendota,19.1
5/1/1981,Mendota,18.2
6/1/1981,Mendota,19
7/1/1981,Mendota,19
8/1/1981,Mendota,18.5
11/1/1981,Mendota,17.5
12/1/1981,Mendota,19
1/1/1982,Mendota,20
2/1/1982,Mendota,20.5
3/1/1982,Mendota,20.5
4/1/1982,Mendota,26
5/1/1982,Mendota,20.5
6/1/1982,Mendota,19.5
7/1/1982,Mendota,19.5
8/1/1982,Mendota,19.5
10/1/1982,Mendota,19.8
11/1/1982,Mendota,19
12/1/1982,Mendota,18
1/1/1983,Mendota,14
2/1/1983,Mendota,20.5
3/1/1983,Mendota,18
4/1/1983,Mendota,19.5
5/1/1983,Mendota,20.5
6/1/1983,Mendota,19
7/1/1983,Mendota,18
8/1/1983,Mendota,20
9/1/1983,Mendota,20
10/1/1983,Mendota,21.2
11/1/1983,Mendota,20.5
12/1/1983,Mendota,20
1/1/1984,Mendota,21
2/1/1984,Mendota,22
3/1/1984,Mendota,18
4/1/1984,Mendota,17.5
5/1/1984,Mendota,20.8
6/1/1984,Mendota,20
7/1/1984,Mendota,19
8/1/1984,Mendota,19
9/1/1984,Mendota,20
10/1/1984,Mendota,20
11/1/1984,Mendota,19
12/1/1984,Mendota,20
1/1/1985,Mendota,19.5
2/1/1985,Mendota,21
3/1/1985,Mendota,20
4/1/1985,Mendota,20
5/1/1985,Mendota,20
6/1/1985,Mendota,21.5
7/1/1985,Mendota,21
8/1/1985,Mendota,21
9/1/1985,Mendota,22
10/1/1985,Mendota,20
11/1/1985,Mendota,21
12/1/1985,Mendota,20
1/1/1986,Mendota,24
2/1/1986,Mendota,24
3/1/1986,Mendota,23
4/1/1986,Mendota,22
5/1/1986,Mendota,23
6/1/1986,Mendota,23.5
